Time	Y	YDOT	YDOUBLEDOT	NC	LOS	LOSdot
5.70609,	1092.99,	-280.598,	-62.1736,	62.1736,	0.08295,	0.00388585
5.70629,	1092.93,	-280.61,	-62.166,	62.166,	0.0829507,	0.00388538
5.70649,	1092.88,	-280.623,	-62.1585,	62.1585,	0.0829515,	0.00388491
5.70669,	1092.82,	-280.635,	-62.1509,	62.1509,	0.0829523,	0.00388443
5.70689,	1092.76,	-280.648,	-62.1433,	62.1433,	0.082953,	0.00388396
5.70709,	1092.71,	-280.66,	-62.1358,	62.1358,	0.0829538,	0.00388348
5.70728,	1092.65,	-280.672,	-62.1282,	62.1282,	0.0829546,	0.00388301
5.70748,	1092.6,	-280.685,	-62.1206,	62.1206,	0.0829553,	0.00388254
5.70768,	1092.54,	-280.697,	-62.113,	62.113,	0.0829561,	0.00388206
5.70788,	1092.48,	-280.71,	-62.1054,	62.1054,	0.0829569,	0.00388159
5.70808,	1092.43,	-280.722,	-62.0979,	62.0979,	0.0829576,	0.00388112
5.70828,	1092.37,	-280.734,	-62.0903,	62.0903,	0.0829584,	0.00388064
5.70848,	1092.32,	-280.747,	-62.0827,	62.0827,	0.0829592,	0.00388017
5.70868,	1092.26,	-280.759,	-62.0751,	62.0751,	0.08296,	0.0038797
5.70888,	1092.2,	-280.772,	-62.0676,	62.0676,	0.0829607,	0.00387922
5.70908,	1092.15,	-280.784,	-62.06,	62.06,	0.0829615,	0.00387875
5.70928,	1092.09,	-280.797,	-62.0524,	62.0524,	0.0829623,	0.00387827
5.70948,	1092.03,	-280.809,	-62.0448,	62.0448,	0.082963,	0.0038778
5.70968,	1091.98,	-280.821,	-62.0372,	62.0372,	0.0829638,	0.00387733
5.70988,	1091.92,	-280.834,	-62.0296,	62.0296,	0.0829646,	0.00387685
5.71008,	1091.87,	-280.846,	-62.0221,	62.0221,	0.0829654,	0.00387638
5.71028,	1091.81,	-280.859,	-62.0145,	62.0145,	0.0829661,	0.00387591
5.71048,	1091.75,	-280.871,	-62.007,	62.007,	0.0829669,	0.00387544
5.71068,	1091.7,	-280.883,	-61.9994,	61.9994,	0.0829677,	0.00387497
5.71088,	1091.64,	-280.896,	-61.9919,	61.9919,	0.0829684,	0.00387449
5.71108,	1091.59,	-280.908,	-61.9843,	61.9843,	0.0829692,	0.00387402
5.71128,	1091.53,	-280.921,	-61.9768,	61.9768,	0.08297,	0.00387355
5.71148,	1091.47,	-280.933,	-61.9692,	61.9692,	0.0829708,	0.00387308
5.71168,	1091.42,	-280.945,	-61.9617,	61.9617,	0.0829715,	0.00387261
5.71188,	1091.36,	-280.958,	-61.9541,	61.9541,	0.0829723,	0.00387213
5.71208,	1091.3,	-280.97,	-61.9466,	61.9466,	0.0829731,	0.00387166
5.71228,	1091.25,	-280.983,	-61.939,	61.939,	0.0829738,	0.00387119
5.71248,	1091.19,	-280.995,	-61.9315,	61.9315,	0.0829746,	0.00387072
5.71268,	1091.14,	-281.007,	-61.9239,	61.9239,	0.0829754,	0.00387025
5.71288,	1091.08,	-281.02,	-61.9164,	61.9164,	0.0829762,	0.00386977
5.71308,	1091.02,	-281.032,	-61.9088,	61.9088,	0.0829769,	0.0038693
5.71328,	1090.97,	-281.045,	-61.9013,	61.9013,	0.0829777,	0.00386883
5.71348,	1090.91,	-281.057,	-61.8937,	61.8937,	0.0829785,	0.00386836
5.71368,	1090.86,	-281.069,	-61.8861,	61.8861,	0.0829792,	0.00386788
5.71388,	1090.8,	-281.082,	-61.8785,	61.8785,	0.08298,	0.00386741
5.71408,	1090.74,	-281.094,	-61.8709,	61.8709,	0.0829808,	0.00386693
5.71428,	1090.69,	-281.106,	-61.8634,	61.8634,	0.0829815,	0.00386646
5.71448,	1090.63,	-281.119,	-61.8558,	61.8558,	0.0829823,	0.00386599
5.71468,	1090.57,	-281.131,	-61.8482,	61.8482,	0.0829831,	0.00386551
5.71488,	1090.52,	-281.144,	-61.8407,	61.8407,	0.0829838,	0.00386504
5.71508,	1090.46,	-281.156,	-61.8331,	61.8331,	0.0829846,	0.00386457
5.71528,	1090.41,	-281.168,	-61.8255,	61.8255,	0.0829854,	0.0038641
5.71548,	1090.35,	-281.181,	-61.818,	61.818,	0.0829861,	0.00386362
5.71568,	1090.29,	-281.193,	-61.8104,	61.8104,	0.0829869,	0.00386315
5.71588,	1090.24,	-281.205,	-61.8028,	61.8028,	0.0829877,	0.00386268
5.71608,	1090.18,	-281.218,	-61.7953,	61.7953,	0.0829884,	0.0038622
5.71628,	1090.12,	-281.23,	-61.7877,	61.7877,	0.0829892,	0.00386173
5.71648,	1090.07,	-281.242,	-61.7801,	61.7801,	0.0829899,	0.00386126
5.71668,	1090.01,	-281.255,	-61.7726,	61.7726,	0.0829907,	0.00386079
5.71688,	1089.96,	-281.267,	-61.765,	61.765,	0.0829915,	0.00386031
5.71707,	1089.9,	-281.279,	-61.7574,	61.7574,	0.0829922,	0.00385984
5.71727,	1089.84,	-281.292,	-61.7498,	61.7498,	0.082993,	0.00385937
5.71747,	1089.79,	-281.304,	-61.7423,	61.7423,	0.0829938,	0.00385889
5.71767,	1089.73,	-281.317,	-61.7347,	61.7347,	0.0829945,	0.00385842
5.71787,	1089.67,	-281.329,	-61.7271,	61.7271,	0.0829953,	0.00385795
5.71807,	1089.62,	-281.341,	-61.7196,	61.7196,	0.0829961,	0.00385747
5.71827,	1089.56,	-281.354,	-61.712,	61.712,	0.0829968,	0.003857
5.71847,	1089.51,	-281.366,	-61.7045,	61.7045,	0.0829976,	0.00385653
5.71867,	1089.45,	-281.378,	-61.697,	61.697,	0.0829984,	0.00385606
5.71887,	1089.39,	-281.391,	-61.6894,	61.6894,	0.0829991,	0.00385559
5.71907,	1089.34,	-281.403,	-61.6819,	61.6819,	0.0829999,	0.00385512
5.71927,	1089.28,	-281.415,	-61.6743,	61.6743,	0.0830007,	0.00385465
5.71947,	1089.22,	-281.428,	-61.6668,	61.6668,	0.0830014,	0.00385418
5.71967,	1089.17,	-281.44,	-61.6593,	61.6593,	0.0830022,	0.0038537
5.71987,	1089.11,	-281.452,	-61.6517,	61.6517,	0.083003,	0.00385323
5.72007,	1089.05,	-281.465,	-61.6442,	61.6442,	0.0830037,	0.00385276
5.72027,	1089,	-281.477,	-61.6367,	61.6367,	0.0830045,	0.00385229
5.72047,	1088.94,	-281.489,	-61.6291,	61.6291,	0.0830053,	0.00385182
5.72067,	1088.89,	-281.502,	-61.6216,	61.6216,	0.083006,	0.00385135
5.72087,	1088.83,	-281.514,	-61.614,	61.614,	0.0830068,	0.00385088
5.72107,	1088.77,	-281.526,	-61.6065,	61.6065,	0.0830076,	0.00385041
5.72127,	1088.72,	-281.539,	-61.599,	61.599,	0.0830083,	0.00384993
5.72147,	1088.66,	-281.551,	-61.5914,	61.5914,	0.0830091,	0.00384946
5.72167,	1088.6,	-281.563,	-61.5839,	61.5839,	0.0830099,	0.00384899
5.72187,	1088.55,	-281.576,	-61.5763,	61.5763,	0.0830106,	0.00384852
5.72207,	1088.49,	-281.588,	-61.5688,	61.5688,	0.0830114,	0.00384805
5.72227,	1088.44,	-281.6,	-61.5613,	61.5613,	0.0830122,	0.00384758
