Time	MissNT3	MissNT4	MissNT5	MissVM3	MissVM4	MissVM5
0.03941,	0.072118,	0.0711706,	0.0702325,	38.8934,	38.1219,	37.3607
0.03961,	0.0728372,	0.0718755,	0.0709234,	39.079,	38.2998,	37.5312
0.0398099,	0.0735599,	0.0725838,	0.0716173,	39.2644,	38.4776,	37.7014
0.0400099,	0.074286,	0.0732953,	0.0723145,	39.4498,	38.6552,	37.8715
0.0402099,	0.0750155,	0.0740101,	0.0730147,	39.635,	38.8327,	38.0414
0.0404099,	0.0757485,	0.0747281,	0.0737181,	39.8201,	39.01,	38.2111
0.0406099,	0.0764848,	0.0754495,	0.0744246,	40.0051,	39.1872,	38.3806
0.0408099,	0.0772246,	0.0761741,	0.0751343,	40.19,	39.3642,	38.5499
0.0410099,	0.0779678,	0.076902,	0.0758471,	40.3747,	39.5411,	38.7191
0.0412099,	0.0787144,	0.0776331,	0.076563,	40.5594,	39.7178,	38.888
0.0414099,	0.0794644,	0.0783675,	0.077282,	40.7439,	39.8944,	39.0568
0.0416099,	0.0802177,	0.0791051,	0.0780041,	40.9283,	40.0708,	39.2254
0.0418099,	0.0809745,	0.079846,	0.0787293,	41.1126,	40.2471,	39.3938
0.0420099,	0.0817347,	0.0805902,	0.0794576,	41.2968,	40.4232,	39.5621
0.0422099,	0.0824983,	0.0813376,	0.0801891,	41.4809,	40.5991,	39.7301
0.0424099,	0.0832653,	0.0820882,	0.0809236,	41.6648,	40.775,	39.898
0.0426099,	0.0840357,	0.0828421,	0.0816612,	41.8487,	40.9506,	40.0656
0.0428099,	0.0848095,	0.0835992,	0.082402,	42.0324,	41.1261,	40.2331
0.0430099,	0.0855866,	0.0843596,	0.0831458,	42.216,	41.3015,	40.4004
0.0432099,	0.0863672,	0.0851232,	0.0838927,	42.3995,	41.4767,	40.5676
0.0434099,	0.0871511,	0.08589,	0.0846426,	42.5829,	41.6518,	40.7345
0.0436099,	0.0879384,	0.0866601,	0.0853957,	42.7661,	41.8267,	40.9013
0.0438099,	0.0887291,	0.0874334,	0.0861518,	42.9493,	42.0015,	41.0678
0.0440099,	0.0895232,	0.0882099,	0.086911,	43.1323,	42.1761,	41.2342
0.0442099,	0.0903206,	0.0889896,	0.0876733,	43.3152,	42.3505,	41.4004
0.0444099,	0.0911214,	0.0897725,	0.0884386,	43.498,	42.5249,	41.5665
0.0446099,	0.0919256,	0.0905587,	0.089207,	43.6807,	42.699,	41.7323
0.0448099,	0.0927332,	0.0913481,	0.0899785,	43.8633,	42.873,	41.898
0.0450099,	0.0935441,	0.0921406,	0.090753,	44.0457,	43.0469,	42.0634
0.0452099,	0.0943584,	0.0929364,	0.0915305,	44.2281,	43.2206,	42.2287
0.0454099,	0.0951761,	0.0937354,	0.0923111,	44.4103,	43.3942,	42.3938
0.0456099,	0.0959971,	0.0945376,	0.0930948,	44.5924,	43.5676,	42.5588
0.0458099,	0.0968214,	0.095343,	0.0938815,	44.7744,	43.7409,	42.7235
0.0460099,	0.0976492,	0.0961516,	0.0946712,	44.9563,	43.914,	42.8881
0.0462099,	0.0984803,	0.0969633,	0.0954639,	45.1381,	44.087,	43.0524
0.0464099,	0.0993147,	0.0977783,	0.0962597,	45.3197,	44.2598,	43.2167
0.0466099,	0.100152,	0.0985964,	0.0970585,	45.5013,	44.4324,	43.3807
0.0468099,	0.100994,	0.0994178,	0.0978604,	45.6827,	44.605,	43.5445
0.0470099,	0.101838,	0.100242,	0.0986653,	45.864,	44.7773,	43.7082
0.0472099,	0.102686,	0.10107,	0.0994731,	46.0452,	44.9496,	43.8716
0.0474099,	0.103537,	0.101901,	0.100284,	46.2263,	45.1216,	44.0349
0.0476099,	0.104392,	0.102735,	0.101098,	46.4073,	45.2936,	44.198
